City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Aitape,PG,-3.1374,142.3475,80.15,78,95,4.29,overcast clouds
272,Dagana,MR,16.5165,-15.5068,73.4,40,32,2.3,scattered clouds
273,Yuancheng,CN,36.652,107.7896,28.69,83,49,2.3,scattered clouds
274,Ahipara,NZ,-35.1667,173.1667,72.43,57,13,9.08,few clouds
275,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,17.27,scattered clouds
276,Troitsko-Pechorsk,RU,62.7084,56.1964,-22.77,85,100,8.9,light snow
277,Ribeira Grande,PT,38.5167,-28.7,58.95,76,72,13.65,broken clouds
278,Katsuura,JP,35.1333,140.3,44.01,49,75,13.8,broken clouds
279,Chandler,US,33.3062,-111.8412,73.99,18,1,9.22,clear sky
280,Zhigansk,RU,66.7697,123.3711,-32.67,78,2,3.98,clear sky
281,La Ronge,CA,55.1001,-105.2842,-25.6,51,69,6.91,broken clouds
282,Severo-Kurilsk,RU,50.6789,156.125,20.35,90,29,13.38,scattered clouds
283,Arman,RU,59.7,150.1667,10.33,84,100,18.95,overcast clouds
284,Vardo,NO,70.3705,31.1107,21.2,79,90,18.41,snow
285,Henties Bay,NA,-22.116,14.2845,64.99,87,79,5.01,broken clouds
286,Sinnamary,GF,5.3833,-52.95,78.01,83,100,13.76,overcast clouds
287,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,72,0,4.61,clear sky
288,Ambilobe,MG,-13.2,49.05,73.63,93,56,2.04,broken clouds
289,Sorland,NO,67.667,12.6934,30.2,80,40,8.05,light snow
290,Iberia,US,29.9502,-91.7507,60.8,55,1,5.75,clear sky
291,Faanui,PF,-16.4833,-151.75,81.27,77,2,12.66,clear sky
292,Ozinki,RU,51.1786,49.6769,-8.16,89,6,13.53,clear sky
293,Sovetskaya Gavan,RU,48.9723,140.2878,5.54,80,100,17.65,overcast clouds
294,Padang,ID,-0.9492,100.3543,73.4,94,75,2.3,heavy intensity rain
295,Saint-Augustin,CA,51.226,-58.6502,21.74,92,8,15.57,clear sky
296,Omboue,GA,-1.5746,9.2618,79.12,84,100,2.86,overcast clouds
297,Saint-Joseph,RE,-21.3667,55.6167,80.6,69,90,3.44,light rain
298,Batemans Bay,AU,-35.7167,150.1833,66.0,71,26,1.99,scattered clouds
299,Bosanski Brod,BA,45.1375,17.9897,60.8,59,40,20.71,scattered clouds
300,Isangel,VU,-19.55,169.2667,82.04,68,31,4.52,scattered clouds
301,Souillac,MU,-20.5167,57.5167,80.6,74,20,8.05,light rain
302,Saint George,US,37.1041,-113.5841,64.99,18,1,3.51,clear sky
303,Rio Cuarto,AR,-33.1307,-64.3499,82.4,57,20,13.8,few clouds
304,Nongstoin,IN,25.5167,91.2667,46.58,62,17,4.47,few clouds
305,San Patricio,US,28.017,-97.5169,73.4,40,1,17.27,clear sky
306,Braganca,BR,-1.0536,-46.7656,75.27,96,19,3.67,light rain
307,Acurenam,GQ,1.0322,10.6488,69.96,98,77,3.42,broken clouds
308,Morros,BR,-9.4467,-46.3003,70.9,87,99,3.53,overcast clouds
309,White Rock,CA,49.0164,-122.8026,46.0,74,55,5.99,broken clouds
310,Dina,CA,52.9335,-110.0849,-18.4,69,20,8.05,few clouds
311,Goderich,CA,43.7501,-81.7165,12.2,67,100,14.97,overcast clouds
312,Malinovoye Ozero,RU,51.6753,79.7825,15.69,94,24,6.93,few clouds
313,Nome,US,64.5011,-165.4064,0.0,84,1,3.44,clear sky
314,Sabha,LY,27.0377,14.4283,68.07,24,100,15.7,overcast clouds
315,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,20,8.05,light rain
316,Koshurnikovo,RU,54.1667,93.3,12.76,96,66,2.21,broken clouds
317,Lisakovsk,KZ,52.5369,62.4936,-0.26,90,60,14.27,broken clouds
318,Miyazu,JP,35.5333,135.1833,36.86,95,89,13.49,light rain
319,Fairbanks,US,64.8378,-147.7164,-5.01,70,20,4.61,few clouds
320,Santa Rosalia,MX,27.3167,-112.2833,68.83,26,0,3.18,clear sky
321,Kabinda,CD,-6.1333,24.4833,69.57,91,100,0.67,overcast clouds
322,Panzhihua,CN,26.5851,101.7128,46.99,67,91,2.08,overcast clouds
323,Rio De Mouro,PT,38.7746,-9.3276,57.99,100,75,17.27,light rain
324,Yar-Sale,RU,66.8333,70.8333,-11.13,89,100,23.22,light snow
325,Dauphin,CA,51.1494,-100.0502,-20.2,63,1,19.57,clear sky
326,Longyearbyen,SJ,78.2186,15.6401,14.0,48,20,20.71,few clouds
327,Xian,CN,34.2583,108.9286,39.99,60,0,11.18,clear sky
328,Basoko,CD,1.2391,23.616,71.91,42,100,2.3,overcast clouds
329,Laguna De Duero,ES,41.5815,-4.7233,44.01,100,90,13.8,mist
330,Antropovo,RU,58.3988,43.0066,-20.29,87,66,7.83,broken clouds
331,Nizhniy Bestyakh,RU,61.9594,129.9086,-47.2,59,0,4.47,fog
332,Flin Flon,CA,54.7682,-101.865,-25.6,56,1,13.8,snow
333,Stornoway,GB,58.2093,-6.3865,33.8,86,75,11.5,light snow
334,Bolshaya Dzhalga,RU,45.9695,42.6966,25.65,89,100,2.06,snow
335,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,82,40,14.52,scattered clouds
336,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.94,80,84,9.51,broken clouds
337,Sangueya,GN,10.7,-14.3667,70.02,79,0,1.59,clear sky
338,Mbeya,TZ,-8.9,33.45,60.85,89,100,1.07,light rain
339,Muros,ES,42.7762,-9.0603,54.0,91,100,3.0,overcast clouds
340,Port Macquarie,AU,-31.4333,152.9167,75.99,69,100,3.0,overcast clouds
341,Udgir,IN,18.3833,77.1167,59.4,33,93,4.5,overcast clouds
342,Te Anau,NZ,-45.4167,167.7167,64.33,60,100,2.84,heavy intensity rain
343,Atikokan,CA,48.7555,-91.6216,-17.1,86,90,7.94,overcast clouds
344,Mehamn,NO,71.0357,27.8492,24.8,74,40,32.21,scattered clouds
345,Salym,RU,60.0625,71.4789,1.92,91,100,12.73,overcast clouds
346,Leningradskiy,RU,69.3833,178.4167,-14.75,83,0,7.63,clear sky
347,Cavalcante,BR,-13.7975,-47.4583,65.39,94,100,3.36,overcast clouds
348,Liverpool,GB,53.4106,-2.9779,35.6,60,90,16.11,overcast clouds
