City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Mirador,BR,75.51,broken clouds,-6.3708,-44.3631,Pousada Casa Nova
360,Richards Bay,ZA,74.39,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
363,San Pedro,PH,78.01,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
364,Ambanja,MG,74.28,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
366,Balabac,PH,80.31,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
367,Guerrero Negro,MX,73.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
369,Talavera,PH,73.4,few clouds,15.6167,120.9333,R&G's Resort
372,Gizo,SB,84.65,moderate rain,-8.103,156.8419,Imagination Island
374,Vila Velha,BR,70.0,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
376,Kralendijk,BQ,80.6,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
378,Sijunjung,ID,70.43,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
379,Ugoofaaru,MV,81.36,few clouds,5.6667,73.0,Ungoofaaru Inn
382,Lastoursville,GA,72.34,clear sky,-0.8143,12.7287,Auberge Bon Coin 02
383,Gouyave,GD,80.6,scattered clouds,12.1646,-61.7296,Rumboat Retreat
391,Sam Roi Yot,TH,71.94,clear sky,12.2708,99.87200000000001,SeaBreezeResort Samroiyot
393,Moquegua,PE,70.09,overcast clouds,-17.1956,-70.9353,Residencial Moquegua
394,Lafiagi,NG,81.54,broken clouds,8.8667,5.4167,Bus group international
397,Biak,ID,78.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
398,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
399,Meulaboh,ID,76.33,broken clouds,4.1363,96.1285,Kost Pria
404,Kalmunai,LK,76.8,scattered clouds,7.4167,81.8167,VS Villa
405,Chimore,BO,81.1,broken clouds,-16.9833,-65.1333,Bichito
406,Angoche,MZ,79.11,few clouds,-16.2325,39.9086,Guest House HESADA
409,Damaturu,NG,68.43,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
411,Amatitan,MX,84.0,clear sky,20.8333,-103.7167,CASA MARTINEZ ARAIZA
415,Mecca,SA,71.49,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
416,Manzanillo,CU,79.0,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
421,Kavieng,PG,84.33,broken clouds,-2.5744,150.7967,Nusa Island Retreat
426,Zuenoula,CI,82.47,scattered clouds,7.4292,-6.0431,Hotel Prestige Zla
429,Bowen,AU,80.6,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
430,Ewa Beach,US,78.8,few clouds,21.3156,-158.0072,Base Lodging
431,Noumea,NC,82.4,clear sky,-22.2763,166.4572,Hôtel Le Lagon
438,Talisayan,PH,75.2,broken clouds,6.9872,121.9272,Mar y Monte Resort
440,Pangai,TO,78.8,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
443,Solano,US,69.8,clear sky,38.2333,-121.9511,Travis AFB FamCamp
448,Imuris,MX,69.55,clear sky,30.7833,-110.8667,Hotel toro Hereford
450,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
452,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
458,Prainha,BR,83.05,light rain,-1.8,-53.48,Casa Rocha
459,Daru,PG,82.06,broken clouds,-9.0763,143.2092,Daru Lodge
