City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Port Alfred,ZA,2021-02-06 22:28:43,-33.5906,26.891,68.0,91,58,5.01
91,Hilo,US,2021-02-06 22:25:05,19.7297,-155.09,80.6,44,1,6.91
92,Sawakin,SD,2021-02-06 22:28:44,19.1059,37.3321,72.41,62,36,7.92
93,Kodiak,US,2021-02-06 22:28:44,57.79,-152.4072,37.4,60,20,3.44
94,Lata,PT,2021-02-06 22:28:44,40.1629,-8.3327,52.0,80,49,1.01
95,Yelnya,RU,2021-02-06 22:28:44,54.5786,33.1837,-2.69,92,82,8.16
96,Torbay,CA,2021-02-06 22:27:47,47.6666,-52.7314,39.99,100,90,21.85
97,Binzhou,CN,2021-02-06 22:28:44,37.3667,118.0167,35.01,72,0,3.0
98,El Carmen,CO,2021-02-06 22:28:44,8.5106,-73.4478,78.6,61,92,5.91
99,Saint-Pierre,RE,2021-02-06 22:28:45,-21.3393,55.4781,78.8,83,40,4.61
100,Mount Isa,AU,2021-02-06 22:25:22,-20.7333,139.5,75.2,100,90,5.75
101,Victoria,HK,2021-02-06 22:24:27,22.2855,114.1577,64.99,64,0,5.03
102,Vanavara,RU,2021-02-06 22:28:45,60.34,102.2797,6.35,94,100,8.48
103,Mecca,SA,2021-02-06 22:28:45,21.4267,39.8261,65.79,58,0,6.62
104,Rock Sound,BS,2021-02-06 22:28:45,24.9,-76.2,76.23,86,0,15.08
105,Tiksi,RU,2021-02-06 22:28:45,71.6872,128.8694,-26.95,85,100,5.08
106,Pingliang,CN,2021-02-06 22:28:46,35.5392,106.6861,34.65,64,100,3.42
107,Albion,US,2021-02-06 22:27:05,42.2431,-84.753,17.6,62,90,9.22
108,Fortuna,US,2021-02-06 22:28:46,40.5982,-124.1573,55.0,87,1,13.8
109,Abu Dhabi,AE,2021-02-06 22:27:04,24.4667,54.3667,68.0,68,0,2.3
110,Cabo San Lucas,MX,2021-02-06 22:26:58,22.8909,-109.9124,78.8,60,1,11.5
111,Altay,CN,2021-02-06 22:28:47,47.8667,88.1167,20.93,88,84,2.8
112,Zabaykalsk,RU,2021-02-06 22:28:47,49.6333,117.3167,-12.78,87,0,7.43
113,Plettenberg Bay,ZA,2021-02-06 22:28:47,-34.0527,23.3716,66.54,87,14,7.14
114,Lucapa,AO,2021-02-06 22:28:47,-8.4192,20.7447,67.48,95,100,2.1
115,Nanortalik,GL,2021-02-06 22:27:54,60.1432,-45.2371,21.72,80,10,9.48
116,Westford,US,2021-02-06 22:26:38,42.5793,-71.4378,39.2,33,20,6.91
117,Hare Bay,CA,2021-02-06 22:28:48,48.8499,-54.0148,33.8,100,100,3.44
118,Siguiri,GN,2021-02-06 22:28:48,11.6667,-9.5,79.02,17,82,2.21
119,Richards Bay,ZA,2021-02-06 22:28:30,-28.783,32.0377,73.38,87,96,7.25
120,Svetlaya,RU,2021-02-06 22:28:48,46.5389,138.3297,1.58,86,70,9.37
121,Mujiayingzi,CN,2021-02-06 22:28:48,42.1167,118.7833,3.69,88,17,4.76
122,Aksu,CN,2021-02-06 22:28:49,41.1231,80.2644,25.57,87,30,2.64
123,Auki,SB,2021-02-06 22:28:49,-8.7676,160.7034,80.28,84,100,9.15
124,Komsomolskiy,UZ,2021-02-06 22:27:28,40.4272,71.7189,42.8,49,100,4.61
125,Te Anau,NZ,2021-02-06 22:28:49,-45.4167,167.7167,65.62,53,5,2.57
126,Baruun-Urt,MN,2021-02-06 22:28:49,46.6806,113.2792,-9.29,84,0,8.12
127,Aliwal North,ZA,2021-02-06 22:26:35,-30.6937,26.7114,66.43,77,13,3.06
128,Kavaratti,IN,2021-02-06 22:24:24,10.5669,72.642,81.16,60,3,8.77
129,Ponta Do Sol,PT,2021-02-06 22:27:25,32.6667,-17.1,54.0,67,15,1.01
130,Warrnambool,AU,2021-02-06 22:28:49,-38.3833,142.4833,55.99,94,82,14.5
131,Malartic,CA,2021-02-06 22:28:50,48.1335,-78.1328,14.0,73,75,10.36
132,Adrar,MR,2021-02-06 22:28:50,20.5022,-10.0711,59.34,35,98,10.76
133,Sogne,NO,2021-02-06 22:28:50,58.0833,7.8167,23.0,63,90,13.8
134,Kiruna,SE,2021-02-06 22:28:50,67.8557,20.2251,19.4,79,90,3.44
135,Bryan,US,2021-02-06 22:28:50,30.6744,-96.37,73.0,40,1,10.36
136,Pak Phanang,TH,2021-02-06 22:28:50,8.3511,100.202,76.57,82,70,5.73
137,Kupiskis,LT,2021-02-06 22:28:50,55.8333,24.9667,1.92,94,1,2.93
138,Saint-Louis,SN,2021-02-06 22:28:50,16.3333,-15.0,71.6,49,0,2.3
139,Buala,SB,2021-02-06 22:28:51,-8.145,159.5921,81.41,81,95,10.22
140,Lakeway,US,2021-02-06 22:28:51,30.3638,-97.9796,72.0,17,1,11.5
141,Vao,NC,2021-02-06 22:23:54,-22.6667,167.4833,77.23,85,0,5.64
142,Kavieng,PG,2021-02-06 22:28:51,-2.5744,150.7967,82.72,70,61,2.57
143,Tuatapere,NZ,2021-02-06 22:26:00,-46.1333,167.6833,67.35,56,0,1.86
144,Chokurdakh,RU,2021-02-06 22:26:58,70.6333,147.9167,-23.6,87,32,5.06
145,Evensk,RU,2021-02-06 22:28:51,61.95,159.2333,13.5,88,96,18.14
146,Hambantota,LK,2021-02-06 22:27:02,6.1241,81.1185,76.53,82,98,15.64
147,Manama,BH,2021-02-06 22:28:51,26.2154,50.5832,68.0,88,0,9.22
148,Marsa Matruh,EG,2021-02-06 22:28:51,31.3525,27.2453,53.6,87,0,5.75
149,Morkov,CZ,2021-02-06 22:28:52,49.5368,18.0597,27.0,93,90,14.97
150,Murgab,TM,2021-02-06 22:28:52,37.4966,61.9714,48.2,71,90,4.61
151,Port Blair,IN,2021-02-06 22:28:52,11.6667,92.75,77.76,77,13,8.68
152,Alugan,PH,2021-02-06 22:28:52,12.2188,125.4808,79.84,85,93,14.9
153,Apsheronsk,RU,2021-02-06 22:28:52,44.46,39.73,39.67,87,100,0.63
154,East London,ZA,2021-02-06 22:28:52,-33.0153,27.9116,74.71,87,8,2.46
155,Colares,PT,2021-02-06 22:28:52,38.7992,-9.4469,53.01,76,33,20.0
156,Lagoa,PT,2021-02-06 22:27:51,39.05,-27.9833,60.19,89,100,25.23
157,Chizhou,CN,2021-02-06 22:28:52,30.6578,117.4831,47.89,82,29,0.96
158,Nishihara,JP,2021-02-06 22:27:35,26.1842,127.7558,66.2,82,20,4.61
159,Constitucion,CL,2021-02-06 22:25:34,-35.3333,-72.4167,63.37,74,21,5.17
160,Lorengau,PG,2021-02-06 22:28:53,-2.0226,147.2712,82.92,74,97,2.59
161,Pocatello,US,2021-02-06 22:28:53,42.8713,-112.4455,41.0,45,40,41.43
162,Kushima,JP,2021-02-06 22:28:53,31.4583,131.2333,48.2,76,20,17.27
163,Kez,RU,2021-02-06 22:28:53,57.8979,53.7152,-0.74,92,100,9.93
164,Bosobolo,CD,2021-02-06 22:28:53,4.1833,19.9,74.84,28,12,1.92
165,Chiplun,IN,2021-02-06 22:28:54,17.5333,73.5167,69.37,32,6,3.36
166,Yulara,AU,2021-02-06 22:26:52,-25.2406,130.9889,75.2,33,0,10.36
167,Saint George,US,2021-02-06 22:28:54,37.1041,-113.5841,61.0,21,1,5.75
168,Thinadhoo,MV,2021-02-06 22:28:54,0.5333,72.9333,81.05,76,3,12.91
169,Nikolskoye,RU,2021-02-06 22:28:54,59.7035,30.7861,8.01,85,40,11.18
170,Iqaluit,CA,2021-02-06 22:25:53,63.7506,-68.5145,26.6,80,90,21.85
171,Aklavik,CA,2021-02-06 22:28:54,68.2191,-135.0107,-20.2,76,90,3.44
172,Moron,AR,2021-02-06 22:28:54,-34.6534,-58.6198,90.0,32,0,1.52
173,Aswan,EG,2021-02-06 22:24:23,24.0934,32.907,59.25,47,0,5.84
174,Normandin,CA,2021-02-06 22:28:55,48.8333,-72.5321,21.2,63,94,13.8
175,Touros,BR,2021-02-06 22:25:31,-5.1989,-35.4608,78.8,78,40,4.61
176,Thompson,CA,2021-02-06 22:26:25,55.7435,-97.8558,-25.6,62,75,14.97
177,Paita,PE,2021-02-06 22:28:55,-5.0892,-81.1144,84.2,58,0,10.36
178,Cidreira,BR,2021-02-06 22:28:55,-30.1811,-50.2056,72.88,72,49,5.57
179,Port-De-Bouc,FR,2021-02-06 22:28:55,43.4,4.9833,59.0,72,75,11.5
180,Longyearbyen,SJ,2021-02-06 22:26:13,78.2186,15.6401,19.4,73,75,8.05
181,Norman Wells,CA,2021-02-06 22:28:56,65.282,-126.8329,-29.2,75,75,4.61
182,Bambous Virieux,MU,2021-02-06 22:28:56,-20.3428,57.7575,78.8,78,40,4.61
183,Xifeng,CN,2021-02-06 22:28:56,42.7372,124.7222,2.16,88,33,1.41
184,Katsuura,JP,2021-02-06 22:28:56,35.1333,140.3,42.8,65,0,5.75
185,Roma,US,2021-02-06 22:25:56,43.2128,-75.4557,26.6,43,1,16.11
186,Sinfra,CI,2021-02-06 22:28:56,6.6167,-5.9167,80.6,78,100,6.93
187,Sobolevo,RU,2021-02-06 22:28:57,54.4299,31.8996,-2.99,92,80,8.25
188,Wenling,CN,2021-02-06 22:28:57,28.3669,121.36,59.0,89,39,1.9
189,Mahebourg,MU,2021-02-06 22:24:13,-20.4081,57.7,78.8,78,40,4.61
190,Dikson,RU,2021-02-06 22:28:57,73.5069,80.5464,-28.73,86,89,10.25
191,Malanje,AO,2021-02-06 22:28:57,-9.5402,16.341,65.84,96,100,3.4
192,Oriental,MX,2021-02-06 22:28:57,19.3667,-97.6167,73.27,21,0,12.86
193,Clyde River,CA,2021-02-06 22:28:57,70.4692,-68.5914,-13.0,84,1,2.3
194,Irbeyskoye,RU,2021-02-06 22:28:57,55.6428,95.4522,18.82,94,94,5.32
195,Peniche,PT,2021-02-06 22:28:58,39.3558,-9.3811,53.01,73,32,11.99
196,Belfast,GB,2021-02-06 22:28:58,54.5833,-5.9333,39.2,81,99,17.27
197,Taksimo,RU,2021-02-06 22:27:51,56.3444,114.8794,-14.06,77,85,0.96
198,Jinka,ET,2021-02-06 22:28:58,5.65,36.65,69.46,44,7,0.6
199,Beringovskiy,RU,2021-02-06 22:27:09,63.05,179.3167,-7.47,89,48,10.51
200,Georgetown,MY,2021-02-06 22:28:58,5.4112,100.3354,80.01,83,20,6.26
201,Bulgan,MN,2021-02-06 22:28:58,48.8125,103.5347,1.74,82,0,2.53
202,Ormara,PK,2021-02-06 22:28:58,25.2088,64.6357,66.78,49,0,8.55
203,Leningradskiy,RU,2021-02-06 22:28:58,69.3833,178.4167,-12.08,75,0,6.58
204,Orzinuovi,IT,2021-02-06 22:28:58,45.404,9.9216,48.0,1,100,1.99
205,Geraldton,AU,2021-02-06 22:25:56,-28.7667,114.6,68.0,94,75,20.71
206,Sept-Iles,CA,2021-02-06 22:28:59,50.2001,-66.3821,30.2,93,100,9.22
207,Esperance,AU,2021-02-06 22:27:43,-33.8667,121.9,59.0,94,90,11.5
208,Lengshuijiang,CN,2021-02-06 22:28:59,27.6881,111.4294,53.87,83,40,0.96
209,Santa Rosa,PH,2021-02-06 22:28:58,14.3122,121.1114,75.99,88,20,1.14
210,Grand Forks,US,2021-02-06 22:28:59,47.9417,-97.4337,-9.0,54,1,14.97
211,Severo-Kurilsk,RU,2021-02-06 22:24:51,50.6789,156.125,21.51,93,100,14.61
212,Port Hardy,CA,2021-02-06 22:28:59,50.6996,-127.4199,44.6,75,75,12.66
213,Avarua,CK,2021-02-06 22:27:46,-21.2078,-159.775,84.2,74,60,12.66
214,Bandarbeyla,SO,2021-02-06 22:29:00,9.4942,50.8122,75.56,79,25,12.84
215,Fairbanks,US,2021-02-06 22:26:56,64.8378,-147.7164,-6.0,77,90,0.87
216,Ahar,IR,2021-02-06 22:24:03,38.4774,47.0699,36.46,82,100,6.4
217,Kruisfontein,ZA,2021-02-06 22:29:00,-34.0033,24.7314,66.99,82,2,1.99
218,Ust-Nera,RU,2021-02-06 22:29:00,64.5667,143.2,-25.13,76,77,5.23
219,Potsdam,DE,2021-02-06 22:29:00,52.3989,13.0657,26.01,73,100,1.99
220,Guangzhou,CN,2021-02-06 22:25:36,23.1167,113.25,63.0,82,0,2.24
221,Sirjan,IR,2021-02-06 22:29:01,29.452,55.6814,47.46,46,12,10.27
222,Airai,TL,2021-02-06 22:25:08,-8.9266,125.4092,60.48,100,92,2.24
223,Creel,MX,2021-02-06 22:29:01,27.75,-107.6333,61.02,28,0,11.14
224,Krasnoselkup,RU,2021-02-06 22:29:01,65.7,82.4667,-7.38,90,99,14.61
225,Muros,ES,2021-02-06 22:29:01,42.7762,-9.0603,41.0,92,50,1.99
226,Lufkin,US,2021-02-06 22:28:21,31.3382,-94.7291,62.6,67,90,17.27
227,Conakry,GN,2021-02-06 22:29:01,9.538,-13.6773,80.64,66,76,3.83
228,Pacific Grove,US,2021-02-06 22:29:01,36.6177,-121.9166,70.0,67,1,8.01
229,Upernavik,GL,2021-02-06 22:29:02,72.7868,-56.1549,20.08,78,97,3.89
230,Rio Gallegos,AR,2021-02-06 22:29:02,-51.6226,-69.2181,64.4,27,20,16.11
231,Tilichiki,RU,2021-02-06 22:29:02,60.4667,166.1,8.71,88,100,14.94
232,Teknaf,BD,2021-02-06 22:25:43,20.8624,92.3058,61.77,62,0,6.71
233,Rio Grande,BR,2021-02-06 22:26:40,-32.035,-52.0986,75.54,69,0,5.95
234,Saint-Georges,GD,2021-02-06 22:26:25,12.0564,-61.7485,80.6,69,20,17.27
235,Labuhan,ID,2021-02-06 22:29:02,-6.8844,112.2051,77.23,87,33,8.01
236,Ancud,CL,2021-02-06 22:26:21,-41.8697,-73.8203,73.4,46,0,8.05
237,Gari,RU,2021-02-06 22:29:03,59.4307,62.3497,0.64,93,100,12.28
238,Alofi,NU,2021-02-06 22:27:39,-19.0595,-169.9187,84.2,79,100,11.5
239,Obo,CF,2021-02-06 22:29:03,5.3998,26.4869,67.73,25,71,5.28
240,Rancho Grande,BR,2021-02-06 22:29:03,-23.5057,-46.3585,69.8,73,75,9.22
241,Sitka,US,2021-02-06 22:27:29,57.0531,-135.33,35.6,69,40,14.97
242,Riverton,US,2021-02-06 22:25:07,40.5219,-111.9391,46.4,53,1,16.11
243,Mosquera,CO,2021-02-06 22:29:03,4.7059,-74.2302,62.6,77,40,6.91
244,Mount Gambier,AU,2021-02-06 22:29:04,-37.8333,140.7667,57.2,82,90,9.22
245,Talnakh,RU,2021-02-06 22:26:24,69.4865,88.3972,-29.06,73,0,2.51
246,Maceio,BR,2021-02-06 22:29:04,-9.6658,-35.7353,78.8,83,0,11.5
247,Anamur,TR,2021-02-06 22:29:04,36.0751,32.8369,51.8,93,0,5.75
248,Zaraza,VE,2021-02-06 22:29:04,9.3503,-65.3245,81.23,61,99,11.72
249,Sorland,NO,2021-02-06 22:29:04,67.667,12.6934,35.04,81,68,22.91
250,Carauari,BR,2021-02-06 22:29:04,-4.8828,-66.8958,81.23,88,81,2.51
